,sex,logAge,edu,logIncome,marriage,nFamily,nKids,job,intercept
ownCompact,0,0.011231,0,0,0,0,0.217686,0,-0.70455
ownMidsize,-0.50157,0.025279,0,0.001034,0.642871,0,0.283271,0.224254,-2.24645
ownFullsize,-0.70486,0.031556,0.155763,0.001383,0.426209,0,0.191917,0,-3.47789
shareCompact,0,0,0,0,0,0,0.227458,0,-0.90831
shareMidsize,0,0.027299,0,0.00128,0,0,0.279412,0,-3.27503
shareFullsize,0,0,0,0.001364,0,0,0.322177,0,-4.04505
pTrans,0,0,0,0,0,0,0,0,0
pTaxi,0,0,0,0,0,0,0.436064,0,-1.84973
walk,0,0,-0.16177,0,0,0,0,0,-1.56427
