,sex,logAge,edu,logIncome,marriage,nFamily,nKids,job,intercept
ownCompact,-0.17211,0.01629,0,0,0,0,0.153157,0,-0.86197
ownMidsize,-0.53676,0.018055,0.131381,0.000948,0.598814,0,0.150353,0.241707,-2.17713
ownFullsize,-0.65274,0.01638,0,0.001168,0,0,0.19943,0,-2.27496
shareCompact,0,0,0.104515,0,0,0,0,0,-0.95644
shareMidsize,0,0.014746,0.22947,0.000755,0.449734,0,0.176804,0,-2.75632
shareFullsize,0,0,0.244729,0.000974,0,0,0.259498,0,-3.05339
pTrans,0,0,0,0,0,0,0,0,0
nothing,0,0,0.119563,0,0.277592,0,0,0,-0.72699
